IBRAHIMOVIC,Milan,A,84.25
ZAPATA D.,Atalanta,A,82.75
MARTINEZ L.,Inter,A,79.5
IMMOBILE,Lazio,A,79.0
INSIGNE,Napoli,A,77.5
CALHANOGLU HAKAN,Inter,A,77.0
BELOTTI,Torino,A,75.25
PERISIC IVAN,Inter,A,74.75
MALINOVSKYJ RUSLAN,Atalanta,A,74.25
PEDRO JOAO,Cagliari,A,74.0
RONALDO,Juventus,A,72.5
POLITANO,Napoli,A,72.0
MERTENS,Napoli,A,71.75
PETAGNA,Napoli,A,71.75
ANDERSON FELIPE,Lazio,A,71.5
BERARDI,Sassuolo,A,71.25
CALLEJON JOSE' MARIA,Fiorentina,A,70.75
ZACCAGNI MATTIA,Verona,A,70.25
CHIESA FEDERICO,Juventus,A,70.25
TRAORE HAMAD,Sassuolo,A,70.0
MAYORAL,Roma,A,70.0
CORREA,Lazio,A,69.75
KULUSEVSKI DEJAN,Juventus,A,69.5
MURIEL,Atalanta,A,69.5
CUTRONE,Empoli,A,69.5
ABRAHAM,Roma,A,68.75
LOZANO,Napoli,A,68.5
ALBERTO LUIS,Lazio,A,68.5
SHOMURODOV,Roma,A,68.5
SANCHEZ,Inter,A,68.25
MORATA,Juventus,A,68.25
MKHITARYAN HENRIKH,Roma,A,68.0
DYBALA,Juventus,A,68.0
CAPUTO,Sassuolo,A,67.5
GIROUD,Milan,A,67.5
BOGA,Sassuolo,A,67.0
QUAGLIARELLA,Sampdoria,A,66.5
VERDI SIMONE,Torino,A,66.0
DZEKO,Inter,A,66.0
SIMEONE,Cagliari,A,65.75
PEREYRA ROBERTO,Udinese,A,65.5
LASAGNA,Verona,A,65.5
ZANIOLO NICOLO',Roma,A,65.25
DJURICIC FILIP,Sassuolo,A,65.0
EL SHAARAWY,Roma,A,65.0
ARNAUTOVIC,Bologna,A,64.75
VLAHOVIC,Fiorentina,A,64.5
BONAZZOLI,Salernitana,A,64.5
SIMY,Salernitana,A,64.0
PAVOLETTI,Cagliari,A,64.0
OSIMHEN,Napoli,A,64.0
CASTILLEJO SAMU,Milan,A,63.5
SORIANO ROBERTO,Bologna,A,63.5
